"Date","Loss"
2010-01-03,1.683748
2010-01-04,2.093704
2010-01-05,1.732581
2010-01-07,1.779754
2010-01-07,4.612006
2010-01-10,8.725274
2010-01-10,7.898975
2010-01-16,2.208045
2010-01-16,1.486091
2010-01-19,2.796171
2010-01-21,7.320644
2010-01-21,3.367496
2010-01-24,1.464129
2010-01-25,1.722223
2010-01-26,11.374817
2010-01-26,2.482739
2010-01-28,26.214641
2010-02-03,2.00243
2010-02-05,4.530015
2010-02-07,1.841753
2010-02-10,3.806735
2010-02-13,14.122076
2010-02-16,5.424253
2010-02-19,11.713031
2010-02-20,1.515373
2010-02-21,2.538589
2010-02-22,2.04978
2010-02-23,12.465593
2010-02-25,1.735445
2010-02-27,1.683748
2010-03-07,3.323852
2010-03-13,1.821025
2010-03-13,2.415813
2010-03-13,1.464129
2010-03-17,5.875902
2010-03-20,1.792439
2010-03-21,3.338214
2010-03-22,1.584488
2010-03-26,1.931321
2010-04-06,2.04978
2010-04-10,1.573758
2010-04-11,1.756955
2010-04-14,4.931186
2010-04-15,5.417277
2010-04-16,1.537335
2010-04-25,17.569546
2010-04-25,1.691123
2010-04-26,1.581612
2010-05-01,1.467116
2010-05-01,2.04978
2010-05-02,1.928712
2010-05-02,3.263154
2010-05-04,1.704246
2010-05-07,2.074608
2010-05-09,3.29429
2010-05-10,1.839975
2010-05-16,7.320644
2010-05-18,7.320644
2010-05-20,1.576215
2010-05-20,4.856098
2010-05-21,1.542275
2010-05-26,13.620791
2010-05-29,1.756955
2010-05-29,1.639824
2010-06-02,2.036378
2010-06-03,21.961933
2010-06-11,1.799026
2010-06-12,2.452416
2010-06-15,2.669107
2010-06-15,2.024146
2010-06-16,1.724744
2010-06-17,1.643864
2010-06-21,1.961933
2010-06-30,4.626647
2010-07-02,1.464129
2010-07-04,3.96325
2010-07-04,5.563852
2010-07-07,4.392387
2010-07-10,3.640313
2010-07-12,1.677892
2010-07-14,1.449488
2010-07-15,263.250366
2010-07-25,2.500732
2010-07-26,1.825769
2010-07-26,9.88287
2010-07-28,2.146618
2010-07-29,2.870259
2010-08-07,6.319914
2010-08-08,2.123461
2010-08-08,2.923865
2010-08-11,2.036376
2010-08-18,1.736457
2010-08-18,2.04978
2010-08-20,1.903367
2010-08-21,1.610542
2010-08-23,1.717423
2010-08-23,3.129438
2010-08-27,2.051958
2010-08-28,1.967518
2010-08-28,2.102489
2010-08-28,3.259151
2010-08-30,1.998536
2010-08-30,5.417277
2010-09-02,2.819836
2010-09-04,3.697083
2010-09-05,2.045388
2010-09-05,2.679356
2010-09-08,3.426224
2010-09-11,1.58858
2010-09-12,4.262871
2010-09-12,1.755859
2010-09-14,1.987006
2010-09-15,1.661925
2010-09-15,7.61347
2010-09-15,1.794878
2010-09-15,6.674817
2010-09-25,2.185944
2010-09-28,3.855051
2010-09-30,3.221083
2010-10-01,2.122987
2010-10-01,1.760291
2010-10-06,2.041653
2010-10-07,3.755939
2010-10-07,2.242111
2010-10-08,1.721113
2010-10-09,1.464129
2010-10-12,4.711892
2010-10-14,2.153824
2010-10-16,3.874813
2010-10-17,19.070278
2010-10-20,1.887262
2010-10-23,1.464129
2010-10-24,1.536164
2010-10-25,2.560066
2010-10-27,2.799707
2010-10-29,2.013177
2010-10-30,1.464129
2010-11-05,6.325037
2010-11-07,1.5673
2010-11-09,2.196193
2010-11-10,2.335286
2010-11-13,2.115666
2010-11-14,1.469545
2010-11-18,5.402635
2010-11-18,5.314788
2010-11-19,2.872621
2010-11-20,2.781845
2010-11-25,2.576821
2010-12-06,3.101025
2010-12-07,1.464129
2010-12-08,2.04978
2010-12-09,1.961933
2010-12-09,1.464129
2010-12-09,2.635432
2010-12-10,1.464129
2010-12-10,5.856515
2010-12-12,3.29429
2010-12-14,2.520857
2010-12-17,19.472914
2010-12-17,1.835463
2010-12-19,2.04978
2010-12-23,2.783309
2010-12-25,2.781845
2010-12-26,1.756955
2010-12-27,2.84041
2010-12-31,2.330893
2011-01-01,1.756225
2011-01-01,1.314548
2011-01-01,2.403971
2011-01-03,6.91563
2011-01-07,1.491877
2011-01-17,1.532396
2011-01-23,1.873861
2011-01-26,1.815203
2011-01-31,8.256881
2011-02-02,1.410204
2011-02-07,2.206625
2011-02-10,34.141547
2011-02-10,2.443311
2011-02-13,3.59437
2011-02-13,2.372215
2011-02-15,3.669725
2011-02-17,6.888453
2011-02-19,1.802097
2011-02-19,1.441678
2011-02-23,9.174312
2011-02-27,2.096986
2011-03-01,2.814548
2011-03-01,1.684903
2011-03-04,2.099607
2011-03-09,2.621232
2011-03-10,1.376147
2011-03-12,1.664482
2011-03-13,2.359109
2011-03-16,4.136488
2011-03-19,1.394396
2011-03-23,1.802097
2011-03-24,1.819135
2011-03-24,1.513761
2011-03-27,3.080773
2011-04-01,20.969856
2011-04-10,4.193971
2011-04-13,1.861644
2011-04-18,2.496723
2011-04-20,2.213781
2011-04-20,5.242464
2011-04-22,1.322254
2011-04-23,8.551769
2011-04-24,1.965924
2011-04-25,12.895151
2011-04-26,1.788991
2011-04-26,2.176827
2011-04-27,8.777628
2011-04-27,1.815203
2011-04-29,1.68314
2011-04-29,3.643512
2011-05-02,1.613368
2011-05-03,1.46789
2011-05-05,1.405604
2011-05-06,3.120803
2011-05-11,1.598181
2011-05-13,3.800786
2011-05-14,1.510089
2011-05-16,1.572739
2011-05-16,1.830052
2011-05-21,2.621232
2011-05-21,2.806481
2011-05-23,1.357798
2011-05-24,1.618611
2011-05-25,1.965924
2011-05-28,3.02228
2011-05-29,56.225426
2011-05-31,4.980341
2011-06-02,1.987163
2011-06-14,1.965924
2011-06-16,2.711292
2011-06-17,1.900393
2011-06-18,1.72346
2011-06-18,1.572739
2011-06-19,1.703801
2011-06-19,3.019659
2011-06-21,1.834862
2011-06-24,1.419397
2011-06-29,4.390564
2011-06-30,7.863696
2011-07-01,1.572739
2011-07-01,1.336613
2011-07-05,1.703801
2011-07-07,2.635623
2011-07-10,1.864718
2011-07-11,1.457755
2011-07-11,7.558322
2011-07-12,2.031397
2011-07-20,1.349934
2011-07-26,1.474862
2011-07-28,5.111402
2011-07-30,5.242464
2011-07-31,1.441678
2011-08-04,3.936139
2011-08-05,4.06291
2011-08-11,1.376147
2011-08-19,1.684142
2011-08-19,1.44062
2011-08-25,1.364549
2011-08-25,1.572739
2011-08-27,2.185422
2011-08-27,3.281346
2011-08-27,1.363101
2011-08-28,2.123198
2011-08-28,2.634338
2011-08-28,2.098296
2011-08-29,3.434353
2011-09-01,1.478796
2011-09-02,2.621232
2011-09-03,3.001311
2011-09-04,1.429734
2011-09-06,10.222805
2011-09-09,2.579396
2011-09-09,1.755359
2011-09-10,1.473405
2011-09-11,1.952818
2011-09-14,1.779869
2011-09-15,1.986862
2011-09-16,1.939712
2011-09-17,1.6759
2011-09-17,1.572739
2011-09-19,2.524902
2011-09-19,14.678899
2011-09-20,3.034076
2011-09-21,1.97903
2011-09-22,5.937759
2011-09-26,1.441678
2011-09-29,2.621232
2011-10-01,2.038008
2011-10-03,3.754915
2011-10-07,2.437746
2011-10-07,1.702031
2011-10-11,7.10987
2011-10-15,2.019659
2011-10-17,1.85049
2011-10-18,1.41595
2011-10-22,7.693316
2011-10-25,3.014417
2011-10-27,2.359109
2011-10-28,1.592316
2011-11-01,1.389253
2011-11-01,1.332969
2011-11-03,1.423329
2011-11-03,2.977571
2011-11-05,1.387355
2011-11-05,1.40498
2011-11-08,2.621232
2011-11-13,4.279161
2011-11-15,1.605505
2011-11-16,2.011796
2011-11-17,2.267366
2011-11-17,1.46465
2011-11-19,3.374066
2011-11-22,1.490799
2011-11-24,2.096986
2011-11-25,1.570166
2011-11-25,1.376147
2011-12-01,3.145478
2011-12-07,8.453735
2011-12-10,3.033283
2011-12-13,2.06422
2011-12-14,6.422018
2011-12-14,1.898788
2011-12-18,1.49017
2011-12-21,50.065531
2011-12-21,1.559633
2011-12-22,1.965924
2011-12-28,1.800052
2011-12-29,2.42464
2011-12-29,1.310616
2011-12-31,1.612058
2012-01-06,4.221165
2012-01-08,1.260404
2012-01-08,1.403693
2012-01-09,1.297265
2012-01-13,1.927492
2012-01-13,1.915458
2012-01-14,1.207452
2012-01-17,5.698583
2012-01-21,1.902497
2012-01-22,1.189134
2012-01-22,10.178024
2012-01-22,1.60208
2012-01-24,4.161712
2012-01-28,2.36305
2012-01-29,1.965044
2012-02-01,1.945982
2012-02-01,2.853746
2012-02-03,1.20244
2012-02-04,10.820452
2012-02-04,1.588763
2012-02-04,2.09635
2012-02-05,5.469679
2012-02-07,1.892985
2012-02-08,2.033294
2012-02-09,1.605232
2012-02-16,1.403092
2012-02-22,1.195006
2012-02-25,3.246136
2012-02-27,1.263122
2012-02-27,2.972652
2012-02-28,1.20495
2012-02-28,1.881273
2012-02-28,1.783591
2012-03-07,3.9239
2012-03-07,1.902497
2012-03-10,1.664685
2012-03-10,4.452825
2012-03-19,1.323621
2012-03-20,1.605232
2012-03-22,24.970273
2012-03-25,2.734839
2012-03-29,1.783591
2012-04-05,1.810939
2012-04-05,2.11415
2012-04-11,1.391201
2012-04-12,1.346017
2012-04-12,1.507384
2012-04-14,1.940488
2012-04-14,2.569798
2012-04-18,1.580766
2012-04-18,1.487515
2012-04-20,1.521998
2012-04-21,1.690844
2012-04-22,1.783591
2012-04-24,1.258866
2012-04-24,1.573748
2012-04-24,1.467301
2012-04-25,2.713705
2012-04-25,2.736029
2012-04-27,1.456599
2012-04-28,2.137432
2012-04-28,2.47909
2012-05-01,2.378121
2012-05-01,4.637337
2012-05-02,1.189061
2012-05-03,1.545779
2012-05-08,2.342449
2012-05-12,2.337693
2012-05-16,1.397146
2012-05-23,4.221165
2012-05-31,1.639952
2012-06-03,1.218787
2012-06-06,3.686088
2012-06-07,2.497027
2012-06-08,2.497027
2012-06-10,5.231867
2012-06-10,1.307967
2012-06-11,1.268125
2012-06-16,2.165279
2012-06-17,4.640193
2012-06-17,2.972652
2012-06-22,1.664685
2012-06-24,1.189061
2012-06-27,11.890606
2012-07-01,2.865636
2012-07-01,1.244367
2012-07-03,1.724138
2012-07-11,5.6956
2012-07-14,1.35957
2012-07-14,7.074911
2012-07-15,1.403476
2012-07-15,1.402419
2012-07-19,1.319857
2012-07-21,4.320589
2012-07-24,1.843044
2012-07-24,1.414982
2012-07-26,1.486326
2012-07-27,4.946032
2012-07-28,1.913199
2012-07-29,20.049941
2012-07-29,1.436508
2012-07-31,5.507729
2012-08-01,3.210464
2012-08-02,1.399328
2012-08-04,5.001735
2012-08-04,3.448276
2012-08-05,3.55648
2012-08-05,1.357568
2012-08-06,2.131511
2012-08-06,1.841886
2012-08-07,1.426873
2012-08-09,2.417598
2012-08-11,1.252155
2012-08-12,1.899703
2012-08-13,1.559183
2012-08-20,1.249253
2012-08-21,1.903241
2012-08-23,1.605232
2012-08-24,2.229659
2012-08-27,1.212842
2012-08-30,3.448276
2012-09-03,1.243268
2012-09-06,1.674931
2012-09-08,1.353151
2012-09-10,1.787545
2012-09-10,2.036861
2012-09-13,1.973841
2012-09-14,1.640904
2012-09-18,2.909932
2012-09-18,2.550958
2012-09-19,1.807372
2012-09-20,4.002578
2012-09-22,1.426873
2012-09-28,2.343112
2012-09-30,1.388823
2012-10-01,4.173603
2012-10-03,1.278537
2012-10-04,3.558859
2012-10-06,1.20015
2012-10-16,1.551234
2012-10-24,1.69962
2012-10-24,65.707491
2012-10-27,27.262595
2012-10-27,15.926278
2012-10-31,1.279497
2012-11-01,3.098441
2012-11-06,2.946962
2012-11-07,1.224732
2012-11-08,1.664685
2012-11-09,1.319602
2012-11-11,1.516599
2012-11-11,1.273231
2012-11-11,1.664685
2012-11-13,1.307967
2012-11-15,5.469679
2012-11-20,1.248514
2012-11-21,1.986825
2012-11-22,1.426873
2012-11-23,1.426873
2012-11-23,2.16409
2012-11-24,2.140309
2012-11-25,1.307967
2012-11-25,1.498384
2012-11-27,1.688466
2012-12-01,1.839949
2012-12-02,4.375743
2012-12-02,1.786692
2012-12-07,1.655944
2012-12-09,1.189061
